Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
MSTB2	128	120	155	169
MSTB	711	603	790	782
MSTC-int	37	27	21	16
MSTC	372	349	354	403
MSTD-int	102	101	134	120
MSTD	519	477	631	623
MamGyp-int	21	31	24	25
MamGypLTR1a	40	50	53	47
MamGypLTR1b	52	63	74	73
MamGypLTR1c	45	44	67	43
MamGypLTR1d	22	29	30	28
MamGypLTR2b	19	13	21	19
MamGypLTR2c	33	22	19	25
MamGypLTR3	12	12	25	29
MamGypLTR3a	55	61	66	73
MamGypsy2-I	111	93	97	120
MamGypsy2-LTR	28	25	21	33
MamRep137	255	284	297	288
MamRep1527	48	45	88	69
MamRep1879	73	83	124	128
MamRep1894	20	28	26	34
MamRep38	162	131	159	168
MamRep4096	57	50	51	73
MamRep434	161	125	145	173
MamRep488	13	13	25	22
MamTip1	47	44	42	67
MamTip2	348	291	377	358
MamTip3	37	47	70	62
Mam_R4	49	53	61	45
Merlin1_HS	4	13	14	13
ORSL-2a	23	22	18	18
ORSL-2b	54	46	44	72
ORSL	69	55	60	64
OldhAT1	240	176	238	279
PABL_A-int	100	77	137	160
PABL_A	110	96	91	115
PABL_B-int	55	37	69	65
PABL_B	35	37	38	51
PRIMA4-int	163	150	142	128
PRIMA41-int	61	59	38	42
PRIMA4_LTR	20	28	30	45
PRIMAX-int	7	5	2	1
Penelope1_Vert	69	66	87	93
Plat_L3	261	281	294	342
PrimLTR79	10	6	17	18
Ricksha	6	9	22	14
