TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
MLT1B	1236	1135	1595	1597
MLT1C-int	40	47	67	58
MLT1C	1611	1535	1998	2108
MLT1D-int	91	79	94	115
MLT1D	1574	1506	2045	2076
MLT1E1	60	51	66	84
MLT1E1A-int	10	13	16	12
MLT1E1A	192	159	282	251
MLT1E2-int	33	29	38	31
MLT1E2	369	285	463	457
MLT1E3-int	9	15	3	10
MLT1E3	151	144	162	209
MLT1E	29	38	39	39
MLT1F-int	41	33	52	73
MLT1F1-int	17	9	22	16
MLT1F1	365	365	415	428
MLT1F2-int	39	18	27	18
MLT1F2	542	442	668	636
MLT1F	428	341	473	566
MLT1G-int	24	14	27	36
MLT1G1-int	30	24	30	29
MLT1G1	211	156	269	247
MLT1G3-int	8	5	5	8
MLT1G3	264	262	332	362
MLT1G	199	215	279	292
MLT1H-int	60	37	66	75
MLT1H1-int	22	13	22	27
MLT1H1	209	168	288	282
MLT1H2-int	17	12	22	30
MLT1H2	197	188	257	299
MLT1H	523	465	699	723
MLT1I-int	56	46	88	78
MLT1I	595	471	621	717
MLT1J-int	63	55	61	85
MLT1J1-int	19	8	30	28
MLT1J1	200	165	230	247
MLT1J2-int	25	28	37	26
MLT1J2	288	257	420	398
MLT1J	1262	1050	1401	1476
MLT1K-int	4	4	5	6
MLT1K	1146	994	1395	1531
MLT1L-int	3	3	0	3
MLT1L	647	575	801	812
MLT1M	174	153	199	201
MLT1N2-int	4	4	6	9
MLT1N2	294	261	326	347
MLT1O	296	238	396	389
MLT2A1	194	181	336	338
MLT2A2	188	141	218	229
MLT2B1	198	151	205	215
MLT2B2	81	64	105	105
MLT2B3	278	309	310	317
MLT2B4	266	261	382	368
MLT2B5	5	13	15	12
MLT2C1	100	83	137	120
MLT2C2	72	63	97	90
MLT2D	208	188	267	214
MLT2E	12	10	18	18
MLT2F	119	93	147	130
MST-int	12	5	21	15
MSTA-int	674	540	919	951
MSTA1	28	10	17	37
MSTA	1256	1051	1550	1580
MSTB-int	104	86	153	155
MSTB1-int	22	19	37	36
MSTB1	289	259	353	406
MSTB2-int	4	3	4	3
MSTB2	130	124	155	169
MSTB	610	593	790	782
MSTC-int	12	15	21	16
MSTC	249	248	354	403
MSTD-int	116	103	134	120
MSTD	498	447	631	623
MamGyp-int	33	18	24	25
MamGypLTR1a	38	21	53	47
MamGypLTR1b	35	39	74	73
MamGypLTR1c	41	46	67	43
MamGypLTR1d	22	8	30	28
MamGypLTR2b	15	17	21	19
MamGypLTR2c	28	12	19	25
MamGypLTR3	13	14	25	29
MamGypLTR3a	47	47	66	73
MamGypsy2-I	82	68	97	120
MamGypsy2-LTR	29	24	21	33
MamRep137	280	256	297	288
MamRep1527	45	51	88	69
MamRep1879	108	63	124	128
MamRep1894	29	8	26	34
MamRep38	121	105	159	168
MamRep4096	37	48	51	73
MamRep434	139	153	145	173
MamRep488	22	15	25	22
MamTip1	43	34	42	67
MamTip2	311	255	377	358
MamTip3	52	47	70	62
Mam_R4	45	41	61	45
Merlin1_HS	4	9	14	13
ORSL-2a	14	12	18	18
ORSL-2b	57	40	44	72
ORSL	42	44	60	64
OldhAT1	208	187	238	279
PABL_A-int	126	121	137	160
PABL_A	69	73	91	115
PABL_B-int	42	33	69	65
PABL_B	34	38	38	51
PRIMA4-int	98	86	142	128
PRIMA41-int	35	30	38	42
PRIMA4_LTR	20	20	30	45
PRIMAX-int	3	3	2	1
Penelope1_Vert	76	72	87	93
Plat_L3	280	245	294	342
PrimLTR79	9	12	17	18
Ricksha	8	12	22	14
Ricksha_0	39	37	71	81
Ricksha_a	5	2	1	2
