baseMean	log2FoldChange	lfcSE	pvalue	padj
HERV-Fc2-int	1.16767843547791	-0.00010930275073477	0.0582167774263806	0.933750314463691	0.999642617610237
HERV15-int	5.02145102743588	-0.00466263824824801	0.0584530515178152	0.0847918728196819	0.999642617610237
HERV16-int	22.2730498214385	-0.00514846885203504	0.0582570368475931	0.390512338298805	0.999642617610237
HERV17-int	76.3395893757587	-0.00200810499850035	0.0573128982439155	0.847948296902176	0.999642617610237
HERV1_I-int	1.7472652504634	2.52616712412557e-05	0.0582248675141491	0.979657144197425	0.999642617610237
HERV1_LTRa	0.839546575210467	0.00116844068298527	0.0582435356484301	0.254974974698165	0.999642617610237
HERV1_LTRc	1.6877809735581	0.00178125287342578	0.0582552184869657	0.234561435609344	0.999642617610237
HERV3-int	21.2533020305724	-0.00740271934643519	0.0586431549244422	0.201732502850707	0.999642617610237
HERV30-int	25.1999254063045	0.00452794093890144	0.0581301747217831	0.485930246569958	0.999642617610237
HERV35I-int	16.5842798699943	0.00651791986478298	0.0585416599290343	0.214046051814742	0.999642617610237
HERV4_I-int	208.424854946826	-0.0224190134490089	0.0615514078326636	0.194574759442903	0.999642617610237
HERV9-int	31.2573729843189	-0.00421660975008422	0.0580239011302331	0.544645231572801	0.999642617610237
HERV9N-int	5.1045773588354	0.00180284807375258	0.0581983843780675	0.543944035307631	0.999642617610237
HERVE-int	110.437702153967	0.0066750754966792	0.0573161685445007	0.599051501447156	0.999642617610237
HERVE_a-int	4.63224894209092	-0.00017847994734979	0.0581621813970784	0.94817671942372	0.999642617610237
HERVFH19-int	10.8354584438919	0.000603210265734982	0.0580793528755513	0.889752649430673	0.999642617610237
HERVFH21-int	95.2740126392918	-0.00486750092553122	0.057220561502774	0.68239527822032	0.999642617610237
HERVH48-int	6.417726298283	-0.00271316202480307	0.0582341472720111	0.407467520162898	0.999642617610237
HERVI-int	14.0865668611417	-0.00400518735894904	0.058237831726258	0.403784329099136	0.999642617610237
HERVIP10B3-int	39.9557091403064	-0.00189387966502568	0.0577277917495624	0.808837027550445	0.999642617610237
HERVK-int	167.367860202388	0.0140978979265017	0.0584101925231491	0.35767123762776	0.999642617610237
HERVK11-int	48.9951609935794	0.0018046668943556	0.0575944660433214	0.837889955080593	0.999642617610237
HERVK11D-int	4.02226365204404	-0.00166100504610893	0.0582101137285519	0.518735389803477	0.999642617610237
HERVK13-int	21.3037889866423	-0.00369921422631929	0.0580997826461256	0.531814859226715	0.999642617610237
HERVK14-int	17.6269425838155	0.000936491521200602	0.0579862554512265	0.865169668302004	0.999642617610237
HERVK14C-int	8.34699795294807	-0.00229877343433696	0.0581792512063064	0.535465738668996	0.999642617610237
HERVK22-int	75.1470464698936	-0.0194568421234219	0.0620097665352296	0.0786351476793344	0.999642617610237
HERVK3-int	115.156409257588	0.0063904279406281	0.0572832194942026	0.613399171069899	0.999642617610237
HERVK9-int	329.716647326615	-0.0140547483205415	0.0569101155543356	0.461119789508301	0.999642617610237
HERVKC4-int	1.27739697436102	-9.03357138715677e-05	0.058216051680897	0.946053782421172	0.999642617610237
HERVL-int	369.696810546367	0.0149979994392501	0.0567389092678078	0.455199962990957	0.999642617610237
HERVL18-int	18.3391757334947	0.00276431292321047	0.0580698380099186	0.615345803835166	0.999642617610237
HERVL32-int	2.95100765170745	0.00167140842914755	0.0582296342625533	0.430846566993155	0.999642617610237
HERVL40-int	152.353058007131	-0.0204268587717997	0.06132925026734	0.172867189052933	0.999642617610237
HERVL66-int	6.76862602057479	0.00101502157439915	0.0581440692015811	0.768522150260444	0.999642617610237
HERVL74-int	67.5998382669612	0.00968512758090941	0.0584736892530918	0.347117389854649	0.999642617610237
HERVP71A-int	21.0755944092771	-0.00523067224783354	0.058293302125574	0.362727016144974	0.999642617610237
HERVS71-int	65.199202645346	0.00534755858356169	0.0576908468356548	0.604269018475092	0.999642617610237
HSMAR1	66.728266039811	-0.0130500520904885	0.0594559490211379	0.203133285138485	0.999642617610237
